mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,target_name,target_id,drugbank_id
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Cytochrome P450-cam,1143,2298
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Muscarinic acetylcholine receptor M3,16,51
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Muscarinic acetylcholine receptor M1,38,103
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Alpha-1A adrenergic receptor,191,556
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Muscarinic acetylcholine receptor M2,210,617
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Alpha-1B adrenergic receptor,216,632
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Gamma-aminobutyric acid receptor subunit alpha-1,309,872
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Ig gamma-1 chain C region,1201,4785
MOL001406,crocetin,https://tcmsp-e.com/molecule.php?qn=1406,328.44,4.58,2,4,35.3,0.54,-0.83,0.26,0.43,2.03,Prostaglandin G/H synthase 2,94,290
